,01_スーパーマーケット,01_スーパーマーケット,01_スーパーマーケット,01_スーパーマーケット,01_スーパーマーケット,01_スーパーマーケット,01_スーパーマーケット,02_コンビニエンスストア,02_コンビニエンスストア,02_コンビニエンスストア,02_コンビニエンスストア,02_コンビニエンスストア,02_コンビニエンスストア,02_コンビニエンスストア,03_ホームセンター,03_ホームセンター,03_ホームセンター,03_ホームセンター,03_ホームセンター,03_ホームセンター,04_ドラッグストア,04_ドラッグストア,04_ドラッグストア,04_ドラッグストア,04_ドラッグストア,04_ドラッグストア,05_家電大型専門店,05_家電大型専門店
,00_大分類計,10_食品,20_飲料,30_雑貨,40_化粧品,50_ヘルスケア,60_その他,00_大分類計,10_食品,20_飲料,30_雑貨,40_化粧品,50_ヘルスケア,60_その他,00_大分類計,10_食品,20_飲料,30_雑貨,40_化粧品,50_ヘルスケア,00_大分類計,10_食品,20_飲料,30_雑貨,40_化粧品,50_ヘルスケア,00_大分類計,70_家電
,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計
2019-07-14,101.25,103.00,101.17,95.12,93.76,101.47,93.53,104.89,118.22,106.68,107.89,93.56,96.76,97.51,99.29,93.04,100.73,101.97,74.63,96.61,98.58,108.30,99.62,103.82,96.83,89.09,124.15,124.15
2019-07-21,105.57,107.52,105.61,100.54,92.03,103.74,96.69,105.65,117.97,109.20,113.61,98.12,97.34,97.50,104.54,96.73,110.54,105.38,80.54,99.23,101.19,108.70,101.94,108.52,100.13,89.97,155.25,155.25
2019-07-28,104.27,104.28,109.76,96.72,92.93,98.73,95.96,110.58,121.80,119.31,132.57,117.27,95.62,99.33,102.13,90.97,110.45,102.95,84.69,94.39,107.67,111.87,111.55,115.56,112.39,92.01,169.27,169.27
2019-08-04,110.45,107.45,124.29,105.07,88.94,101.49,98.74,118.38,127.16,132.47,148.42,142.86,96.15,104.73,108.48,91.30,124.15,107.50,98.34,97.09,108.80,108.72,120.57,114.86,114.16,90.92,207.53,207.53
2019-08-11,109.30,105.85,126.19,99.92,85.02,98.31,97.13,114.85,124.57,128.55,132.13,140.21,99.58,101.32,108.03,90.53,130.45,103.80,90.69,92.90,105.26,107.20,125.43,108.10,104.82,87.25,147.67,147.67
2019-08-18,115.41,112.31,131.42,104.97,91.32,109.78,104.12,103.89,114.10,113.19,122.83,124.50,98.15,92.69,110.45,96.63,125.96,108.82,88.46,95.74,102.59,104.72,114.27,107.66,95.93,90.96,174.94,174.94
2019-08-25,103.70,105.19,103.19,98.60,101.71,100.43,97.59,107.43,116.42,112.90,112.28,98.62,94.91,99.83,94.03,87.08,98.91,94.78,76.10,91.41,99.63,105.63,97.79,107.74,102.68,87.91,130.47,130.47
2019-09-01,104.53,106.97,102.90,101.35,87.18,97.96,99.38,106.51,116.76,109.23,106.13,86.37,91.64,100.26,95.99,90.05,98.51,97.69,75.57,94.60,98.29,106.39,96.05,106.14,100.09,86.97,142.27,142.27
2019-09-08,105.89,105.94,106.99,105.71,106.85,98.26,99.60,107.16,115.11,113.56,109.18,90.87,89.27,99.70,100.94,88.94,104.17,105.16,78.46,93.44,99.95,107.12,100.80,106.95,101.34,87.96,175.61,175.61
2019-09-15,104.43,102.31,109.38,102.11,114.20,106.49,102.32,109.06,114.53,115.43,109.48,95.92,98.79,102.74,108.48,92.59,122.21,108.33,86.04,99.60,104.80,109.51,108.64,111.34,108.21,91.18,176.86,176.86
2019-09-22,109.18,107.66,108.22,114.63,130.68,115.93,106.99,104.91,111.31,106.18,96.83,84.79,95.87,101.55,112.14,97.01,116.90,116.93,93.59,100.04,109.30,109.68,106.70,116.96,122.96,95.53,192.13,192.13
2019-09-29,121.14,112.46,121.33,150.36,186.32,150.93,126.45,110.24,112.63,109.21,100.51,89.15,95.09,110.33,146.34,111.84,159.38,154.54,132.85,126.43,144.79,122.91,132.54,164.64,185.59,118.67,201.52,201.52
2019-10-06,100.73,103.91,100.66,91.62,75.57,97.40,92.42,107.40,115.51,109.50,102.14,89.66,94.31,102.67,93.44,89.60,99.20,91.62,79.72,100.82,102.92,105.85,99.35,108.61,110.71,94.03,75.80,75.80
2019-10-13,102.11,111.97,95.02,82.33,50.35,83.70,84.67,102.63,123.43,103.87,115.05,84.32,93.78,91.77,87.45,104.43,84.56,83.17,59.00,88.05,81.16,124.41,84.84,77.33,63.84,75.62,51.67,51.67
2019-10-20,102.78,108.83,96.49,87.93,92.32,109.30,87.16,103.80,117.09,105.11,107.10,122.97,114.59,96.33,89.06,97.45,87.46,86.14,77.99,101.25,89.60,106.90,87.18,89.11,82.70,88.90,70.13,70.13
2019-10-27,100.65,106.40,95.04,84.11,97.00,97.22,88.13,101.49,114.52,102.05,100.92,103.82,109.34,94.85,87.08,96.08,85.10,84.48,72.93,95.64,91.14,109.76,88.90,91.50,85.87,88.06,71.01,71.01
2019-11-03,98.59,104.19,94.41,86.80,70.21,98.67,85.94,101.99,115.56,103.42,101.53,104.36,115.98,94.48,89.49,94.57,87.58,88.25,76.30,100.15,92.20,107.77,87.80,92.16,90.62,90.43,69.67,69.67
2019-11-10,101.52,107.58,94.49,90.40,83.18,107.51,88.62,100.54,114.62,101.44,98.58,116.11,123.90,92.99,91.09,95.89,88.96,89.48,84.73,107.30,94.56,111.12,88.16,94.69,91.62,94.32,82.13,82.13
2019-11-17,99.04,105.02,91.67,86.77,84.17,106.34,89.71,100.63,115.24,99.85,97.14,100.13,124.61,93.98,88.68,96.67,90.83,83.03,83.89,108.60,92.21,109.61,87.56,90.27,92.07,91.46,80.56,80.56
2019-11-24,99.12,104.40,93.17,87.31,83.68,109.48,89.76,99.46,114.30,97.98,95.80,100.96,123.22,93.12,86.53,93.81,87.09,82.24,80.23,104.84,89.91,106.34,85.94,87.44,91.43,88.83,87.57,87.57
2019-12-01,103.62,108.69,95.06,97.15,101.21,111.17,92.23,101.28,114.99,98.08,100.87,102.49,133.77,96.34,90.52,98.52,90.90,86.02,83.44,109.46,102.88,119.17,93.71,104.23,112.14,97.36,95.29,95.29
2019-12-08,99.89,105.07,91.66,92.56,96.02,105.55,88.71,99.93,114.48,95.20,101.45,106.70,136.48,95.39,93.13,98.81,92.85,89.85,86.74,113.16,97.49,112.37,87.98,96.97,107.98,94.29,103.15,103.15
2019-12-15,104.21,107.51,96.57,100.05,118.13,127.79,90.73,102.38,117.06,98.79,103.21,107.08,148.08,97.00,101.73,104.38,105.62,97.71,92.68,116.50,105.20,118.66,96.36,105.70,117.29,100.08,116.54,116.54
2019-12-22,103.06,106.67,97.71,95.20,106.93,117.29,89.54,101.11,116.37,98.21,101.03,98.79,152.75,95.03,99.05,101.93,100.86,96.43,84.32,112.19,103.68,115.58,98.37,102.86,113.08,99.47,104.84,104.84
2019-12-29,123.27,128.63,123.16,106.68,94.42,121.21,98.83,104.41,115.19,101.17,110.27,108.07,163.33,100.38,121.32,121.32,132.34,116.20,93.28,117.00,116.70,123.06,119.88,119.28,121.22,106.95,93.78,93.78
2020-01-05,113.78,114.65,126.64,87.00,86.16,131.31,91.94,89.22,100.68,91.39,104.53,108.40,148.88,81.18,94.36,102.31,108.27,82.09,79.30,117.33,102.01,111.66,104.88,97.18,100.39,102.82,186.26,186.26
2020-01-12,94.39,101.02,84.35,86.02,70.48,107.40,88.31,98.45,111.21,94.49,100.16,98.15,150.11,94.15,78.82,87.70,78.90,73.77,71.19,103.31,89.81,106.27,79.85,90.75,88.21,90.52,99.73,99.73
2020-01-19,97.95,104.35,87.73,89.63,80.54,114.34,89.93,95.81,110.62,92.17,93.73,88.23,137.36,90.61,86.71,97.61,89.39,79.19,78.05,114.19,91.60,109.02,83.56,92.89,88.13,91.14,105.56,105.56
2020-01-26,98.69,104.94,88.22,87.65,78.38,151.06,90.66,98.69,115.01,93.49,91.65,87.33,190.11,93.37,87.33,96.63,85.67,79.31,76.02,169.12,103.32,120.45,90.29,102.23,97.43,110.38,84.37,84.37
2020-02-02,103.28,108.08,90.30,95.65,70.14,281.53,90.57,101.00,114.30,93.47,98.98,82.73,650.76,93.33,97.92,99.99,88.18,85.99,77.16,351.66,117.02,123.22,90.56,114.17,92.45,148.68,86.47,86.47
2020-02-09,102.28,110.13,88.95,91.18,81.05,150.50,89.32,98.62,114.61,93.38,102.59,91.09,311.15,91.74,89.17,97.74,85.60,82.83,76.81,167.09,96.48,118.06,85.19,99.95,82.87,99.19,88.33,88.33
2020-02-16,109.22,118.88,94.83,96.14,80.86,135.73,92.22,98.32,112.83,93.82,97.19,85.46,179.56,93.35,95.70,106.01,96.94,88.33,80.70,139.48,97.64,120.48,92.18,101.88,86.53,93.68,108.58,108.58
2020-02-23,100.66,106.78,90.79,94.46,78.31,129.12,88.93,98.97,115.80,94.72,102.63,90.58,147.51,92.93,90.35,97.59,89.43,86.58,76.35,117.09,103.39,124.88,95.32,109.74,92.60,99.16,93.33,93.33
2020-03-01,120.42,128.77,99.97,142.88,76.61,134.96,94.66,98.61,115.03,90.95,155.79,79.35,143.91,93.28,124.74,133.07,107.24,131.77,93.49,134.73,130.41,163.38,102.49,163.71,106.56,111.23,110.23,110.23
2020-03-08,108.09,116.41,93.37,110.34,76.35,108.96,89.85,95.80,110.80,89.99,96.57,70.27,147.59,91.74,96.63,100.81,91.35,98.10,74.05,105.75,96.61,126.61,86.91,107.31,82.09,87.23,104.09,104.09
2020-03-15,107.78,116.25,96.24,97.36,82.99,107.10,91.59,96.61,112.13,91.35,82.69,69.18,131.30,92.63,98.82,103.70,99.77,97.14,72.78,99.04,91.96,123.25,91.14,97.32,84.40,78.60,113.48,113.48
2020-03-22,104.98,111.35,98.49,93.80,82.29,101.92,90.09,97.00,111.14,94.19,89.90,77.16,153.66,91.68,96.49,98.09,97.43,96.34,75.20,91.55,91.06,117.10,91.97,95.31,87.58,77.69,123.96,123.96
2020-03-29,116.16,129.25,99.30,99.40,73.60,108.25,92.36,98.09,114.36,92.68,91.12,73.04,140.81,93.53,103.82,125.71,101.10,98.13,75.31,94.79,100.23,145.61,94.91,107.94,96.40,80.39,105.03,105.03
2020-04-05,117.45,129.25,102.90,108.43,62.93,107.43,90.20,94.81,111.37,90.27,95.19,65.03,125.92,89.51,112.45,124.89,105.58,112.75,80.06,108.16,104.56,146.48,100.65,117.30,90.27,84.24,99.63,99.63
2020-04-12,115.52,128.09,101.36,101.55,56.69,100.98,90.94,92.54,108.78,86.80,89.09,68.68,117.17,88.27,111.92,119.77,104.81,114.32,81.21,104.93,102.41,147.35,100.53,115.73,86.02,79.92,87.32,87.32
2020-04-19,115.58,127.12,103.44,102.10,55.29,103.91,93.29,92.49,108.77,87.33,89.59,62.14,125.44,87.79,109.88,111.21,108.65,111.03,79.04,110.32,98.88,140.86,102.58,109.53,81.88,76.93,84.21,84.21
2020-04-26,113.82,125.99,103.03,96.21,44.99,97.11,90.84,93.04,110.16,86.69,94.64,62.28,121.83,88.58,108.22,110.92,106.95,108.88,76.02,108.69,101.16,141.62,105.51,112.79,87.09,76.72,83.99,83.99
2020-05-03,116.03,124.71,114.35,95.98,43.87,106.67,94.78,93.69,107.35,89.63,86.20,83.58,138.08,89.47,120.42,113.05,121.52,124.21,83.71,116.73,100.95,133.95,114.46,109.85,87.32,75.72,106.86,106.86
2020-05-10,112.60,120.35,112.01,92.23,46.88,102.83,95.12,85.77,97.46,80.41,75.36,69.49,123.87,83.48,115.13,106.85,115.31,120.37,78.68,103.18,95.85,124.95,108.22,107.06,80.76,70.90,128.23,128.23
2020-05-17,108.91,116.28,105.94,92.15,54.68,105.41,93.33,92.40,102.10,89.06,82.46,74.15,132.70,89.79,110.09,102.79,116.93,108.40,77.31,136.00,95.83,122.13,104.88,106.80,85.49,72.21,123.83,123.83
2020-05-24,106.62,114.05,102.19,90.61,58.43,111.69,90.06,91.94,103.39,87.30,79.73,57.41,117.12,89.62,105.00,99.75,105.87,107.10,69.85,114.67,93.36,120.77,100.81,103.71,81.84,71.74,126.00,126.00
