報道発表品目名,１．食料品,２．原料品,３．鉱物性燃料,４．化学製品,５．原料別製品,６．一般機械,７．電気機器,８．輸送用機器,９．その他
1994/05,15308603,21049908,13038973,181060582,343538815,662619002,723460484,636274917,304341523
1994/06,15476897,23082643,16243569,207753258,400711057,807011018,851942718,854286109,339943695
1994/07,14662795,20944764,15508448,199441567,374210190,810971528,851670676,800661696,343630731
1994/08,17536457,22853159,21956086,189760155,340285204,728423071,799252975,675692991,321389343
1994/09,17937981,20561148,20103680,200073282,369096769,850076714,929847260,815285033,364770601
1994/10,18226181,20092075,16820632,201465706,353574001,813157200,871454768,787925235,345032295
1994/11,19373479,22129385,19080509,210677534,354187058,818992729,824031562,748868839,337222871
1994/12,21159035,25610743,25870103,245915701,426407810,934396642,902871463,786221816,383217528
1995/01,13695089,15807233,21784300,181069949,270675781,598217106,679162878,671193634,267267346
1995/02,15094878,24573013,26922536,242473181,369741722,832220566,851497160,794274660,337891455
1995/03,17545928,28013232,15815181,273792065,424976499,1006504919,994411140,859289171,390243778
1995/04,15469817,22482940,21610456,241020814,363568476,827977178,850415153,783417380,341692910
1995/05,14437520,21535607,11336542,215858982,346135732,718890061,752074068,592605713,308629330
1995/06,15067186,22825159,16809008,228011665,392686584,821696566,871253564,695526911,349711239
1995/07,14591036,22405048,14593111,214532434,375565993,785117590,859220562,612391614,358959335
1995/08,16485670,24400083,22156978,217235865,391260017,764664790,869495528,552720868,336555753
1995/09,18261304,26478999,21814286,242992270,412154776,925242452,1028709295,732952932,409012970
1995/10,20182601,26072122,21959060,241253024,411134694,858923054,960791754,641894622,378318903
1995/11,19020461,26211310,19194421,248283081,404540975,867632092,934862983,716283350,368769055
1995/12,20352502,28974119,22755627,282752957,471734726,1002570566,994730937,775154038,409669567
1996/01,14780118,23136741,19132043,222885080,323385649,687786803,776134288,654049853,306128711
1996/02,15274598,26852867,21345580,256808820,392623595,888000603,903345536,751597975,368881970
1996/03,15666521,28636740,20550767,286167590,439395924,1020497315,1026854734,838182254,434588615
1996/04,17421223,27181592,18909280,266770167,408572650,900159241,892627813,744768827,368257070
1996/05,17316291,28836271,13933601,265703275,402182886,833900054,821425565,650287957,372357520
1996/06,17961003,26384574,11346080,250698369,415806962,890359178,887272139,759267145,403899923
1996/07,16369135,27983910,10210585,260447624,436644683,952995043,911826156,793342788,416202766
1996/08,16358603,27470153,17522073,248436254,407143808,848366350,857200471,644324298,387476021
1996/09,18364435,26085202,16751464,249251310,401013679,961098595,944762315,837507603,419705000
1996/10,23060169,30554802,22116479,271652760,427908983,979597443,956305395,801773920,449413335
1996/11,20529554,27107145,18472002,263562762,424988131,993485739,926461357,846414347,447504004
1996/12,22450947,31950722,24074852,296210618,468355333,1093622185,975297374,816431914,440850664
1997/01,17776405,24907213,20886030,255346282,350059908,816685385,806423136,859732151,389503707
1997/02,19607332,30699274,16282471,294577857,440197650,986704271,930014691,845022959,427289434
1997/03,20494651,33228521,19157157,316471400,490247543,1131058354,1093685353,940746124,495160504
1997/04,21204053,32166424,17078623,323469628,478625167,1102895073,1033072856,941447936,476998730
1997/05,21147359,33424637,22043610,313460247,488400342,962283297,957323301,829620634,474961066
1997/06,21564196,29171536,15433126,283278837,460000026,966678262,955667674,940932308,446849037
1997/07,22188950,29437943,20772414,293311169,472948867,998486018,1007085138,959878264,477080802
1997/08,22897427,28474770,17664462,287180960,451782494,889983457,963752591,806242146,468151468
1997/09,22975698,30009929,18840393,297883217,479842740,1012692991,1076558286,995257075,489456542
1997/10,27109691,31427148,22985017,327286623,497607435,1094218336,1117121684,981540534,546696913
1997/11,23558171,28807880,20391027,293448754,449667265,1000816445,1003568869,913198542,491390691
1997/12,26898531,34733912,27037121,337522750,538257673,1167555857,1096312629,955568919,521263483
1998/01,17554575,23722735,15073257,273018351,366667862,830556865,882064015,1016050124,435196209
1998/02,17910409,27753820,12528281,284871270,439027719,937102782,958455877,958808897,457589385
1998/03,21278721,34752382,12100410,315433930,507031059,1067796527,1072941630,1042480456,517396604
1998/04,18919381,32629977,14816797,314784809,459813939,1003299095,1007417359,985048840,509923390
1998/05,19056144,31998578,12020749,285688377,461770074,938669521,950176978,875279910,467641823
1998/06,19175842,34061574,16244130,308714998,503073614,966315170,987501364,1000833391,510491423
1998/07,23344496,34990950,17933907,316328831,511586025,1020187294,1046625969,1067380875,522925417
1998/08,24033193,34414376,17910424,289642856,469994114,875975520,950818603,856871392,494349402
1998/09,23126533,34497823,13631849,299308567,487873840,1016926782,1079552584,1112829678,528814776
1998/10,29893504,31850641,12200094,316674642,453273348,962524818,1029383973,1014645394,530939363
1998/11,20925706,26697239,12138862,251814689,381083144,823263943,831160791,910331314,421743954
1998/12,25409931,32800328,11745278,299887856,455812879,960552549,953144143,917447329,475250751
